ISIN,Name
103174,Aditya Birla Sun Life Frontline Equity Fund-Growth
103173,Aditya Birla Sun Life Frontline Equity Fund-Regular - IDCW
120465,Axis Bluechip Fund - Direct Plan - Growth
120466,Axis Bluechip Fund - Direct Plan - IDCW
112277,Axis Bluechip Fund - Regular Plan - Growth
112278,Axis Bluechip Fund - Regular Plan - IDCW
108799,BANDHAN Large Cap Fund - Regular Plan - Growth
108800,BANDHAN Large Cap Fund - Regular Plan - IDCW
118479,BANDHAN Large Cap Fund-Direct Plan-Growth
118478,BANDHAN Large Cap Fund-Direct Plan-IDCW
148980,BANK OF INDIA Bluechip Fund Direct Plan Growth
148981,BANK OF INDIA Bluechip Fund Direct Plan IDCW
148982,BANK OF INDIA Bluechip Fund Regular Plan Growth
148983,BANK OF INDIA Bluechip Fund Regular Plan IDCW
150187,BARODA BNP PARIBAS LARGE CAP Fund - Direct Plan - Growth Option
150188,BARODA BNP PARIBAS LARGE CAP Fund - Direct Plan - IDCW Option
150186,BARODA BNP PARIBAS LARGE CAP Fund - Regular Plan - IDCW Option
150185,BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option
118269,CANARA ROBECO BLUE CHIP EQUITY FUND - DIRECT PLAN - GROWTH OPTION
118270,CANARA ROBECO BLUE CHIP EQUITY FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)
113221,CANARA ROBECO BLUE CHIP EQUITY FUND - REGULAR PLAN - GROWTH OPTION
113222,CANARA ROBECO BLUE CHIP EQUITY FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)
119250,DSP Top 100 Equity Fund - Direct Plan - Growth
119249,DSP Top 100 Equity Fund - Direct Plan - IDCW
101635,DSP Top 100 Equity Fund - Regular Plan - Growth
101636,DSP Top 100 Equity Fund - Regular Plan - IDCW
118616,Edelweiss Large Cap Fund - Direct Plan - IDCW Option
118617,Edelweiss Large Cap Fund - Direct Plan-Growth option
111938,Edelweiss Large Cap Fund - Plan B - IDCW Option
111939,Edelweiss Large Cap Fund - Plan C - IDCW Option
111940,Edelweiss Large Cap Fund - Regular Plan - Growth Option
111936,Edelweiss Large Cap Fund - Regular Plan - IDCW Option
111935,Edelweiss Large Cap Fund -Plan B - Growth option
111937,Edelweiss Large Cap Fund -Plan C - Growth option
118462,Franklin India BLUECHIP FUND - Direct - IDCW 
100470,Franklin India BLUECHIP FUND - IDCW 
118531,Franklin India Bluechip Fund- Direct - Growth
100471,Franklin India Bluechip Fund-Growth
119133,Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Direct Plan - Growth Option
116547,Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Regular Plan- Growth Option
119134,Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Direct Plan- - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
140814,Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Direct Plan- Half Yearly -Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
140809,Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
140811,Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Direct Plan- Quarterly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
116548,Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
140813,Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Regular Plan- Half Yearly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
140810,Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Regular Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
140812,Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Regular Plan- Quarterly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
119018,HDFC Top 100 Fund - Growth Option - Direct Plan
102000,HDFC Top 100 Fund - Growth Option - Regular Plan
119017,HDFC Top 100 Fund - IDCW Option - Direct Plan
102001,HDFC Top 100 Fund - IDCW Option - Regular Plan
120030,HSBC Large Cap Fund - Direct Growth
120029,HSBC Large Cap Fund - Direct IDCW
101594,HSBC Large Cap Fund - Regular Growth
101593,HSBC Large Cap Fund - Regular IDCW
120586,ICICI Prudential Bluechip Fund - Direct Plan - Growth
120585,ICICI Prudential Bluechip Fund - Direct Plan - IDCW
108466,ICICI Prudential Bluechip Fund - Growth
108465,ICICI Prudential Bluechip Fund - IDCW
120392,Invesco India Largecap Fund - Direct Plan - Growth
120393,Invesco India Largecap Fund - Direct Plan - IDCW (Payout / Reinvestment)
112098,Invesco India Largecap Fund - Growth
112099,Invesco India Largecap Fund - IDCW (Payout / Reinvestment)
148353,ITI Large Cap Fund - Direct Plan - Growth Option
148352,ITI Large Cap Fund - Direct Plan - IDCW Option
148351,ITI Large Cap Fund - Regular Plan - Growth Option
148354,ITI Large Cap Fund - Regular Plan - IDCW Option
134958,JM Large Cap Fund (Direct) - Annual IDCW
120490,JM Large Cap Fund (Direct) - Growth Option
134957,JM Large Cap Fund (Direct) - Half Yearly IDCW 
120489,JM Large Cap Fund (Direct) - IDCW
134956,JM Large Cap Fund (Direct) - Monthly IDCW 
134960,JM Large Cap Fund (Direct) - Quarterly IDCW
134961,JM Large Cap Fund (Regular) - Annual IDCW
100219,JM Large Cap Fund (Regular) - Growth Option
134955,JM Large Cap Fund (Regular) - Half Yearly IDCW
100218,JM Large Cap Fund (Regular) - IDCW 
134959,JM Large Cap Fund (Regular) - Monthly IDCW
134954,JM Large Cap Fund (Regular) - Quarterly IDCW
114458,Kotak Bluechip Fund - Growth
120152,Kotak Bluechip Fund - Growth - Direct
120153,Kotak Bluechip Fund - Payout of Income Distribution cum capital withdrawal option - Direct
114457,Kotak Bluechip Fund - Payout of Income Distribution cumcapital withdrawal option
120267,LIC MF Large Cap Fund-Direct Plan-Growth
120268,LIC MF Large Cap Fund-Direct Plan-IDCW
106871,LIC MF Large Cap Fund-Regular Plan-Growth
100332,LIC MF Large Cap Fund-Regular Plan-IDCW
146550,Mahindra Manulife Large Cap Fund - Direct Plan - IDCW
146549,Mahindra Manulife Large Cap Fund - Direct Plan -Growth
146551,Mahindra Manulife Large Cap Fund - Regular Plan - Growth
146548,Mahindra Manulife Large Cap Fund - Regular Plan - IDCW
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth
107578,Mirae Asset Large Cap Fund - Growth Plan
118826,Mirae Asset Large Cap Fund Direct IDCW
107579,Mirae Asset Large Cap Fund Regular IDCW
106235,Nippon India Large Cap  Fund- Growth Plan -Growth Option
118634,NIPPON INDIA LARGE CAP FUND - DIRECT Plan - IDCW Option
118633,Nippon India Large Cap Fund - Direct Plan Growth Plan - Bonus Option
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
106236,NIPPON INDIA LARGE CAP FUND - IDCW Option
106240,Nippon India Large Cap Fund- Growth Plan Bonus Option
138313,PGIM India Large Cap Fund - Direct Plan - Dividend
138312,PGIM India Large Cap Fund - Direct Plan - Growth
138307,PGIM India Large Cap Fund - Dividend
138308,PGIM India Large Cap Fund - Growth
150440,quant Large Cap Fund - Growth Option - Direct Plan
150441,quant Large Cap Fund - Growth Option - Regular Plan
150439,quant Large Cap Fund - IDCW Option - Direct Plan
150442,quant Large Cap Fund - IDCW Option - Regular Plan
119585,SBI Blue Chip Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
103616,SBI Blue Chip Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
119598,SBI BLUE CHIP FUND-DIRECT PLAN -GROWTH
103504,SBI BLUE CHIP FUND-REGULAR PLAN GROWTH
148509,Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip  Fund)  Direct Plan - Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)
148505,Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund)  Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)
148508,Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund) Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)
148506,Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)
148507,Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund)Direct Plan - Growth
148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
119160,Tata Large Cap Fund -Direct Plan Growth Option
100475,Tata Large Cap Fund -Regular Plan - Growth Option
119159,Tata Large Cap Fund- Direct Plan - Payout of IDCW Option
102036,Tata Large Cap Fund- Regular Plan - Payout of IDCW Option
118870,Taurus Large Cap Fund - Direct Plan - Growth
118871,Taurus Large Cap Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option
101209,Taurus Large Cap Fund - Regular Plan - Growth
108403,Taurus Large Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option
141248,Union Largecap Fund - Direct Plan - Growth Option
141249,Union Largecap Fund - Direct Plan - IDCW Option
141247,Union Largecap Fund - Regular Plan - Growth Option
141250,Union Largecap Fund - Regular Plan - IDCW Option
120656,UTI Large Cap Fund - Direct Plan - Growth Option
120657,UTI Large Cap Fund - Direct Plan - IDCW
100651,UTI Large Cap Fund - Regular Plan - Growth Option
100650,UTI Large Cap Fund - Regular Plan - IDCW
150797,WhiteOak Capital Large Cap Fund Direct Plan Growth
150798,WhiteOak Capital Large Cap Fund Direct Plan IDCW
150799,WhiteOak Capital Large Cap Fund Regular Plan Growth
150800,WhiteOak Capital Large Cap Fund Regular Plan IDCW
119436,Aditya Birla Sun Life Equity Advantage Fund - Growth - Direct Plan
100033,Aditya Birla Sun Life Equity Advantage Fund - Regular Growth
119433,Aditya Birla Sun Life Equity Advantage Fund -Direct - IDCW
100034,Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW
145110,Axis Growth Opportunities Fund - Direct Plan - Growth
145109,Axis Growth Opportunities Fund - Direct Plan - IDCW
145112,Axis Growth Opportunities Fund - Regular Plan - Growth
145111,Axis Growth Opportunities Fund - Regular Plan - IDCW
108596,BANDHAN Core Equity Fund - Regular Plan - Growth
108597,BANDHAN Core Equity Fund - Regular Plan - IDCW
118419,BANDHAN Core Equity Fund-Direct Plan-Growth
118420,BANDHAN Core Equity Fund-Direct Plan-IDCW
110598,BANK OF INDIA Large & Mid Cap  Equity Fund Regular Plan- Quarterly IDCW
119349,BANK OF INDIA Large & Mid Cap Equity Fund Direct  Plan- Quarterly IDCW
119300,BANK OF INDIA Large & Mid Cap Equity Fund Direct Plan- Bonus
119350,BANK OF INDIA Large & Mid Cap Equity Fund Direct Plan-Growth
119346,BANK OF INDIA Large & Mid Cap Equity Fund Direct Plan-Regular IDCW
110599,BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan- Growth
110601,BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan-Bonus
110604,BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan-Quarterly IDCW
110608,BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan-Regular IDCW
110603,BANK OF INDIA Large & Mid Cap Equity Fund Regular Plan- Growth
110607,BANK OF INDIA Large & Mid Cap Equity Fund Regular Plan- Regular IDCW
110606,BANK OF INDIA Large & Mid Cap Equity Fund Regular Plan-Bonus
148474,Baroda BNP Paribas Large and Mid Cap Fund- Direct Plan -Growth Option
148475,Baroda BNP Paribas Large and Mid Cap Fund-Direct Plan-IDCW Option
148471,Baroda BNP Paribas Large and Mid Cap Fund-Regular Plan-Growth Option
148472,Baroda BNP Paribas Large and Mid Cap Fund-Regular plan-IDCW Option
118278,CANARA ROBECO EMERGING EQUITIES - DIRECT PLAN - GROWTH OPTION
118277,CANARA ROBECO EMERGING EQUITIES - DIRECT PLAN - IDCW (Payout/Reinvestment)
102920,CANARA ROBECO EMERGING EQUITIES - REGULAR PLAN - GROWTH OPTION
102921,CANARA ROBECO EMERGING EQUITIES - REGULAR PLAN - IDCW (Payout/Reinvestment)
119218,DSP Equity Opportunities Fund - Direct Plan - Growth
119219,DSP Equity Opportunities Fund - Direct Plan - IDCW
103819,DSP Equity Opportunities Fund-Regular Plan - Growth
103820,DSP Equity Opportunities Fund-Regular Plan - IDCW
140175,Edelweiss Large & Mid Cap Fund - Direct Plan - Growth Option
140172,Edelweiss Large & Mid Cap Fund - Regular Plan - Growth Option
140174,Edelweiss Large and Mid Cap Fund - Direct Plan - IDCW Option
140173,Edelweiss Large and Mid Cap Fund - Regular Plan - IDCW Option
118510,Franklin India Equity Advantage Fund - Direct - Growth
118509,Franklin India Equity Advantage Fund - Direct - IDCW 
102883,Franklin India Equity Advantage Fund - Growth Plan
102884,Franklin India Equity Advantage Fund - IDCW 
130496,HDFC Large and Mid Cap Fund - Growth Option
130498,HDFC Large and Mid Cap Fund - Growth Option - Direct Plan
130497,HDFC Large and Mid Cap Fund - IDCW Option
130499,HDFC Large and Mid Cap Fund - IDCW Option - Direct Plan
146772,HSBC Large & Mid Cap Fund - Direct Growth
146770,HSBC Large & Mid Cap Fund - Direct IDCW
146771,HSBC Large & Mid Cap Fund - Regular Growth
146769,HSBC Large & Mid Cap Fund - Regular IDCW
120596,ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth
120597,ICICI Prudential Large & Mid Cap Fund - Direct Plan - IDCW
100349,ICICI Prudential Large & Mid Cap Fund - Growth
100348,ICICI Prudential Large & Mid Cap Fund - IDCW
120357,Invesco India Large & Mid Cap Fund - Direct Plan - Growth
120356,Invesco India Large & Mid Cap Fund - Direct Plan - IDCW (Payout / Reinvestment)
106144,Invesco India Large & Mid Cap Fund - Growth
106143,Invesco India Large & Mid Cap Fund - IDCW (Payout / Reinvestment)
103234,Kotak Equity Opportunities Fund - Growth
120158,Kotak Equity Opportunities Fund - Growth - Direct
103233,Kotak Equity Opportunities Fund - Payout of Income Distribution cum capital withdrawal option
120157,Kotak Equity Opportunities Fund - Payout of Income Distribution cum capital withdrawal option - Direct
133710,LIC MF Large & Mid Cap Fund-Direct Plan-Growth
133709,LIC MF Large & Mid Cap Fund-Direct Plan-IDCW
133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
133712,LIC MF Large & Mid Cap Fund-Regular Plan-IDCW
147841,Mahindra Manulife Large & Mid Cap Fund - Direct Plan - IDCW
147840,Mahindra Manulife Large & Mid Cap Fund - Direct Plan -Growth
147843,Mahindra Manulife Large & Mid Cap Fund - Regular Plan - Growth
147842,Mahindra Manulife Large & Mid Cap Fund - Regular Plan - IDCW
118834,Mirae Asset Large & Midcap Fund - Direct Plan - Growth
118835,Mirae Asset Large & Midcap Fund - Direct Plan - IDCW
112932,Mirae Asset Large & Midcap Fund - Regular Plan - Growth
112931,Mirae Asset Large & Midcap Fund - Regular Plan - IDCW
147704,Motilal Oswal Large and Midcap Fund - Direct Plan Growth
147701,Motilal Oswal Large and Midcap Fund - Regular Plan Growth
147706,Motilal Oswal Large and Midcap Fund Direct - IDCW Payout/Reinvestment
147703,Motilal Oswal Large and Midcap Fund Regular - IDCW Payout/Reinvestment
141414,Navi Large & Midcap Fund - Direct Annual IDCW Payout
141415,Navi Large & Midcap Fund - Direct Half Yearly IDCW Payout
135679,Navi Large & Midcap Fund - Direct Normal IDCW Payout
141411,Navi Large & Midcap Fund - Regular Annual IDCW payout
141410,NAVI Large & Midcap Fund - Regular Half Yearly IDCW Payout
135680,Navi Large & Midcap Fund - Regular Normal IDCW Payout
135677,Navi Large & Midcap Fund- Direct Plan- Growth Option
135678,Navi Large & Midcap Fund- Regular Plan- Growth Option
118676,NIPPON INDIA VISION FUND - DIRECT Plan - IDCW Option
118675,Nippon India Vision Fund - Direct Plan Growth Plan - Bonus Option
118678,Nippon India Vision Fund - Direct Plan Growth Plan - Growth Option
100378,NIPPON INDIA VISION FUND - IDCW Option
100379,Nippon India Vision Fund-GROWTH PLAN-Bonus Option
100380,Nippon India Vision Fund-GROWTH PLAN-Growth Option
104515,quant Large & Mid Cap Fund - Bonus Option - Regular Plan
120824,quant Large & Mid Cap Fund - Bonus Option-Direct Plan
104513,quant Large & Mid Cap Fund - Growth Option
120826,quant Large & Mid Cap Fund - Growth Option-Direct Plan
120825,quant Large & Mid Cap Fund - IDCW Option - Direct Plan
104514,quant Large & Mid Cap Fund - IDCW Option - Regular Plan
119720,SBI Large & Midcap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
